Product Name
גלידה בצק עוגיות
גלידת שוקולד בראוניס
גלידת חמאת בוטנים עם בראוניס ובייגל מתוק מלוח
גלידת וניל
גלידה וניל טופי קראנץ'
ס'מורס
גלידת עוגת גבינה ותות
גלידת קפה
גלידת פינט באטר קאפ
דבלין מדסלייד
גלידה צ'אנקי מנקי
גלידת ניו יורק סופר
גלידה דולצ'ה דה לצ'ה
גלידה קרם עוגיות
פיינט סולטיד קרמל ליבה
פיינט קרמל סוטרא ליבה
סורבה קוקוס עם אננס
סורבה פסיפלורה וסורבה פירות יער
קרמיסימו פרווה שוקו/וניל
בליסימו 900 וניל פליק
בליסימו 900 וניל צרפתי
בליסימו 900 פאדג' פקאן
מסקרפונה 1.2 עוגיות
מסקרפונה 1.2 קרמל מלוח
מסקרפונה 1.2 תות נטיפים
גלידה דיאטטית שוקו פקאן
דיזרט 1.8 ליטר טירמיסו
דיזרט 1.8 ליטר בקלאווה
דיזרט 1.8 ליטר מלבי
משפחתית 5*5 חלבי
